epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc,val_mcc
1,2.1183501577956076,0.428897305672721,1.5003048602341147,0.5461444308445532,0.5290555356072433,,
2,1.4257621983504083,0.5649909615219075,1.3302792634053504,0.5938800489596083,0.5658641218466558,,
3,1.2683610061549624,0.6048033055005595,1.2580880279494324,0.6115055079559364,0.6091699779593591,,
4,1.2249893347080227,0.6175432555737281,1.2051663485997455,0.6244798041615667,0.6215351759637071,,
5,1.1269376462017124,0.6457346991478007,1.21225392275662,0.6281517747858018,0.6036295359388718,0.9831968338487809,0.6203107845106581
6,1.0868057453910445,0.6538693294310063,0.9658701695018475,0.6915544675642595,0.6625611151109434,,
7,1.074327621400854,0.6616165963673926,1.21895140626877,0.6472460220318238,0.6232292694594119,,
8,1.0366873514983703,0.6709993974347939,0.9068832129714247,0.7001223990208079,0.6835807323486337,,
9,1.0083570093688676,0.6793061892054747,0.9528438447884567,0.6922888616891065,0.6810984202800265,,
10,0.9592494031202262,0.6888611517603512,0.916544198960686,0.7020807833537331,0.6783882568548348,0.9882103684825724,0.6953067147688359
11,0.9430254655213942,0.6952741671688043,0.9900342207351834,0.6940024479804161,0.6788077894150496,,
12,0.9005823746968785,0.7097787724885943,1.1140922103984556,0.6626682986536108,0.6370059788113316,,
13,0.8789211352659378,0.7109408625290522,0.8949560319341382,0.7050183598531212,0.6874841070553073,,
14,0.8372833777019918,0.7230782473960575,0.8695031781529271,0.7231334149326806,0.704452167637304,,
15,0.8005295988511247,0.7353017130068004,0.8132681157626895,0.738310893512852,0.709199984693413,0.9904254082525734,0.7325271958918971
16,0.7705653408077136,0.7417577687871223,1.0612454818541155,0.6844553243574052,0.6737224594833094,,
17,0.7495536131857594,0.7472238960144616,0.8186067342174534,0.7370869033047736,0.7101250047866321,,
18,0.7164439118194778,0.7613411379874322,0.8000162505461508,0.7250917992656059,0.7159914834478638,,
19,0.7102968258302368,0.7594473616252044,0.8320573252009061,0.7365973072215423,0.7258123816650077,,
20,0.6727678904468122,0.7710252216579151,0.8162470501522685,0.7351285189718483,0.7168805588084819,0.9914871431740144,0.7298799395016308
21,0.6453567023653679,0.7776964792975811,0.637309248882233,0.7689106487148103,0.7512089093630927,,
22,0.6302187643702145,0.7824739605750194,0.6397121357217412,0.7813953488372093,0.7657063183986276,,
23,0.6010902509371631,0.789919944908324,0.6299330375331705,0.7811505507955936,0.7620531766414798,,
24,0.569895026666773,0.801196522337953,0.7095924345778719,0.7738066095471237,0.753024295131754,,
25,0.5395992391438044,0.8067487303090298,0.7350443535072859,0.7544675642594859,0.7369531440912376,0.9930736925252361,0.7497108534003697
26,0.5301985918392954,0.814065593526728,0.5463697040533348,0.812484700122399,0.7945901515153759,,
27,0.4992626945359003,0.8206507704226564,0.5650564016443718,0.797796817625459,0.7813807725004511,,
28,0.4820326801584747,0.8271068262029784,0.6322944492721791,0.7938800489596083,0.7762081465819419,,
29,0.4544344683507023,0.8355427390892657,0.5386050521379001,0.8039167686658507,0.7877410115254314,,
30,0.44406394317349807,0.8395885340449342,0.59428202754281,0.7987760097919216,0.7802288866347481,0.9946661086197089,0.7942191424126858
31,0.4265892158187153,0.844925540156667,0.5234280856469854,0.8215422276621787,0.7978682757231798,,
32,0.41467379764321444,0.846518033915813,0.5292555485536302,0.8198286413708691,0.7979003136731677,,
33,0.39420043686391193,0.8525436859774469,0.5202906700213653,0.819094247246022,0.7977437308980202,,
34,0.3725278449159097,0.8597314280795386,0.4800821551129751,0.8328029375764994,0.8132670449206085,,
35,0.36570163362970487,0.8642937074976328,0.49038485647561064,0.826438188494492,0.8095334963934336,0.9956270612809901,0.8223076796219487
36,0.3491416061212882,0.8662735646035982,0.44423125386967655,0.8369645042839657,0.821697928707495,,
37,0.3366331562811612,0.8733752259619523,0.4176056302819433,0.8455324357405141,0.8346868214981917,,
38,0.32927479419279726,0.8772058190582767,0.42674521997187975,0.838922888616891,0.8324549810279546,,
39,0.3107283505944384,0.8843505207884996,0.40534621403442017,0.8531211750305998,0.8397722084706706,,
40,0.31098017857162374,0.8828441077730912,0.4567541092378857,0.835250917992656,0.8155478432695166,0.9960032628501798,0.8312541075660792
41,0.2966028963871992,0.885168287854007,0.4245983479583278,0.8450428396572828,0.827445459393644,,
42,0.28566203023374126,0.889558405784626,0.37302244769607645,0.8614443084455324,0.8464059843078303,,
43,0.28046161705464334,0.8908926573125592,0.4105611101577156,0.8489596083231334,0.8296953559227331,,
44,0.27813027029635934,0.8925712318154428,0.397856467021139,0.8506731946144431,0.8364515840744812,,
45,0.2672738317184402,0.8968322286304554,0.4054214807881574,0.8523867809057527,0.8356924144960199,0.996429393912359,0.8486535611090836
46,0.265176810546741,0.8985968838770767,0.38975532331402474,0.8570379436964505,0.8381192920409332,,
47,0.25915884243043324,0.9002324180080916,0.38459881841771604,0.8602203182374542,0.8440021878397838,,
48,0.2681489638292185,0.8974778342084876,0.37918641672286146,0.8575275397796818,0.8415974995476188,,
49,0.26204416443397144,0.8991994490832401,0.3743807911726953,0.8545899632802938,0.8382035824718423,,
50,0.2558519282213349,0.9009210639579927,0.36379387814966524,0.8621787025703794,0.8472680246291485,0.9968089478736484,0.85853628559783
